fighter_id,fighter_name,fighter_dob,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_wins,fighter_losses,fighter_draws,fighter_slpm,fighter_str_acc_%,fighter_sapm,fighter_str_def_%,fighter_td_avg,fighter_td_acc_%,fighter_td_def_%,fighter_sub_avg,fighter_url,median_knockdowns,median_sig_strike_atts,median_sig_strikes,median_tot_strike_atts,median_tot_strikes,median_takedown_atts,median_takedowns,median_clinch_atts,median_clinchs,median_ctrl_time,median_total_fight_time,median_submissions,median_reversals,median_head_strike_atts,median_head_strikes,median_body_strike_atts,median_body_strikes,median_leg_strike_atts,median_leg_strikes,median_dist_strike_atts,median_dist_strikes,median_ground_atts,median_grounds
1,Tom Aaron,1978-07-13,,155.0,,,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Danny Abbadi,1983-07-03,180.34,155.0,,Orthodox,4,6,0,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0,http://www.ufcstats.com/fighter-details/15df64c02b6b0fde,0.0,77.5,29.5,92.5,42.5,0.0,0.0,11.5,7.0,55.0,538.0,0.0,0.0,72.5,25.5,5.0,4.0,0.0,0.0,63.5,21.0,2.0,1.5
3,Nariman Abbasov,1994-02-01,172.72,155.0,167.64,Orthodox,28,4,0,3.0,0.2,5.67,0.46,0.0,0.0,0.66,0.0,http://www.ufcstats.com/fighter-details/59a9d6dac61c2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,David Abbott,,182.88,265.0,,Switch,10,15,0,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,http://www.ufcstats.com/fighter-details/b361180739bed4b0,0.0,18.5,11.5,36.0,27.5,0.0,0.0,3.0,2.5,,307.0,0.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0,4.5,2.0,5.5,2.0
5,Hamdy Abdelwahab,1993-01-22,187.96,264.0,182.88,Southpaw,5,0,0,3.87,0.52,3.13,0.59,3.0,0.75,0.0,0.0,http://www.ufcstats.com/fighter-details/3329d692aea4dc28,1,110,58,164,106,4,3,5,2,396.0,900,0,0,102,51,6,5,2,2,74,30,33,26
6,Mansur Abdul-Malik,1997-10-07,,185.0,,,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/841695e02c99a521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Shamil Abdurakhimov,1981-09-02,190.5,235.0,193.04,Orthodox,20,8,0,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,0,58,23,70,27,1,0,3,1,15.0,476,0,0,45,13,7,5,4,4,38,9,0,0
8,Hiroyuki Abe,,167.64,145.0,,Orthodox,8,15,3,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0,http://www.ufcstats.com/fighter-details/c0ed7b208197e8de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Daichi Abe,1991-11-27,180.34,170.0,180.34,Orthodox,6,2,0,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,http://www.ufcstats.com/fighter-details/5140122c3eecd307,0,171,63,176,65,1,0,5,3,5.0,900,0,0,137,35,7,4,25,20,153,47,6,6
10,Papy Abedi,1978-06-30,180.34,185.0,,Southpaw,10,4,0,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,http://www.ufcstats.com/fighter-details/c9f6385af6df66d7,0.0,42.5,22.0,49.5,28.5,4.0,2.0,3.5,1.5,213.5,482.5,0.5,0.0,29.5,13.0,6.0,4.0,5.0,3.0,25.5,10.5,12.0,10.0
11,Ricardo Abreu,1984-04-27,180.34,185.0,,Orthodox,5,1,0,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,http://www.ufcstats.com/fighter-details/aa6e591c2a2cdecd,1.0,126.0,40.0,142.5,56.0,3.5,1.5,12.0,6.5,130.5,633.0,0.5,0.0,114.5,32.5,7.0,5.0,4.5,2.5,108.0,29.0,6.0,4.5
12,Klidson Abreu,1992-12-24,182.88,205.0,187.96,Orthodox,15,4,0,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,http://www.ufcstats.com/fighter-details/7279654c7674cd24,0.0,70.0,27.5,84.0,39.5,2.5,0.5,3.0,1.0,40.0,900.0,0.0,0.0,44.5,10.5,14.0,5.5,10.5,9.5,64.5,23.5,0.0,0.0
13,Cyborg Abreu,1980-12-20,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/f689bd7bbd14b392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Daniel Acacio,1977-12-27,172.72,180.0,,Orthodox,30,18,0,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0,http://www.ufcstats.com/fighter-details/1c5879330d42255f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,John Adajar,1991-06-22,175.26,170.0,190.5,Orthodox,6,2,0,3.9,0.52,6.28,0.44,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/989b85f6540c86b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Scott Adams,,182.88,225.0,,Southpaw,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/2620f3eb21c79614,0,0,0,11,10,1,1,0,0,77.0,189,4,0,0,0,0,0,0,0,0,0,0,0
17,Juan Adams,1992-01-16,195.58,265.0,203.2,Orthodox,5,3,0,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,http://www.ufcstats.com/fighter-details/83b00f7597e5ac83,0.0,50.0,38.5,59.5,41.0,1.0,0.5,3.5,1.5,38.0,388.5,0.0,0.0,44.5,31.0,6.0,5.0,1.0,1.0,24.0,12.5,3.0,3.0
18,Anthony Adams,1988-01-13,185.42,185.0,193.04,Orthodox,8,2,0,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/a77633a989013265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Zarrukh Adashev,1992-07-29,165.1,125.0,165.1,Southpaw,4,4,0,3.65,0.4,3.04,0.64,0.0,0.0,1.0,0.5,http://www.ufcstats.com/fighter-details/79cb2a690b9ba5e8,0.0,68.0,17.5,68.0,17.5,0.5,0.0,0.0,1.0,1.0,480.5,0.0,0.0,56.5,12.5,7.0,2.0,4.5,3.0,65.0,15.5,0.0,0.0
20,Israel Adesanya,1989-07-22,193.04,185.0,203.2,Switch,24,3,0,3.93,0.48,3.11,0.56,0.05,0.14,0.77,0.1,http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,0.0,147.0,61.0,157.5,66.0,0.0,0.0,2.5,1.5,4.5,1410.5,0.0,0.0,100.0,29.0,20.5,11.0,28.0,24.5,140.0,60.0,0.0,0.0
21,Sam Adkins,1965-04-26,190.5,225.0,,Orthodox,7,20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/0e9869d712e81f8f,0,3,0,4,1,0,0,0,0,,48,0,0,3,0,0,0,0,0,3,0,0,0
22,Nick Agallar,1979-01-13,172.72,155.0,,Orthodox,24,6,0,0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/ebc5af72ad5a28cb,0,43,5,48,10,2,0,2,1,67.0,434,0,0,36,2,2,0,5,3,42,4,0,0
23,Mariya Agapova,1997-04-07,167.64,125.0,172.72,Southpaw,10,5,0,4.43,0.54,3.62,0.52,0.55,0.66,0.45,0.8,http://www.ufcstats.com/fighter-details/a08ddd04eaffd81d,0.0,49.0,28.5,81.5,53.5,0.0,0.0,4.0,3.5,32.0,418.5,0.5,0.0,40.5,20.5,7.0,5.5,1.0,0.5,27.5,9.5,8.0,5.0
24,Kantharaj Agasa,1992-02-16,,135.0,,,12,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/26f4288e83188c61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Marcelo Aguiar,,177.8,170.0,,Orthodox,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/44aa652b181bcf68,0,2,2,21,21,0,0,0,0,0.0,274,0,0,2,2,0,0,0,0,0,0,2,2
26,Fabio Aguiar,1988-02-10,182.88,185.0,,,17,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/501821d7fb7b95c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Edwin Aguilar,,177.8,185.0,,,26,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/6cadc0a0ba7dc015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Jessica Aguilar,1982-05-08,160.02,115.0,160.02,Orthodox,20,8,0,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,http://www.ufcstats.com/fighter-details/8f382b3baa954d2a,0,114,57,154,102,4,0,18,10,100.0,900,0,0,76,27,19,16,1,1,75,24,1,1
29,Kevin Aguilar,1988-09-07,170.18,155.0,185.42,Orthodox,17,5,0,3.96,0.4,4.81,0.52,0.16,0.16,0.78,0.0,http://www.ufcstats.com/fighter-details/cf946e03ba2e7666,0.0,135.0,70.0,159.5,73.0,3.0,0.0,7.0,4.0,28.5,900.0,0.0,0.0,100.0,39.0,19.0,11.5,11.5,10.0,128.0,56.5,0.0,0.0
30,Jesus Aguilar,1996-03-13,162.56,125.0,157.48,Orthodox,10,2,0,1.49,0.5,1.11,0.59,1.9,0.33,0.4,1.4,http://www.ufcstats.com/fighter-details/c051c2e12d692b8a,0,3,2,5,5,1,1,0,0,229.0,260,1,0,2,1,1,1,0,0,3,2,1,1
31,Christian Aguilera,1991-11-25,175.26,170.0,182.88,Switch,14,8,0,2.54,0.37,4.04,0.48,0.0,0.0,0.6,0.0,http://www.ufcstats.com/fighter-details/ae071698e1a3ccd4,0,11,4,15,5,1,0,0,0,32.0,172,0,0,9,1,0,0,4,4,11,4,0,0
32,Nick Aguirre,1996-01-15,175.26,135.0,187.96,Southpaw,7,2,0,0.73,0.33,2.89,0.45,1.16,0.2,0.33,0.6,http://www.ufcstats.com/fighter-details/0978385b2bd9ef9b,0.0,28.0,9.5,38.0,16.5,5.0,1.0,4.5,0.5,210.5,779.0,0.5,0.5,26.5,9.0,1.0,0.5,0.5,0.0,25.5,9.0,0.0,0.0
33,Mike Aina,,175.26,155.0,,Orthodox,14,6,1,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0,http://www.ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Ashiek Ajim,1994-06-19,172.72,135.0,180.34,Switch,6,2,0,5.0,0.4,11.25,0.25,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/49dea784f6cfed71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Hitomi Akano,1974-07-27,162.56,135.0,,Southpaw,18,10,0,0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5,http://www.ufcstats.com/fighter-details/2eada40ac8801559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Omari Akhmedov,1987-10-12,182.88,185.0,185.42,Orthodox,21,6,1,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2,http://www.ufcstats.com/fighter-details/16690d100f995f8f,0,97,35,118,50,2,1,6,4,102.0,900,0,0,66,23,9,5,5,4,85,29,6,4
37,Yoshihiro Akiyama,1975-07-29,177.8,170.0,190.5,Orthodox,14,6,0,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,http://www.ufcstats.com/fighter-details/b0550072e5f0afa7,0,119,55,165,92,4,0,5,3,68.0,900,0,0,110,50,4,2,3,3,91,37,10,6
